complaint_text,category
My Speed Post article (EM987654321IN) sent from Dadar H.O. to Kolkata has been stuck at the sorting hub for 12 days.,Delivery Delay
The consignment booked for Delhi is delayed by over a week. Urgent documents are inside.,Delivery Delay
"I booked a registered parcel from Andheri East to Pune last Monday, but it has not reached yet.",Delivery Delay
It has been 10 days since I sent the Rakhi to Jaipur. The status still shows 'In Transit'.,Delivery Delay
My parcel from Bengaluru GPO to Mysuru is delayed. I need it for a wedding function.,Delivery Delay
Why does India Post take so long to deliver from Mumbai to Goa? It has been 15 days.,Delivery Delay
The speed post containing my passport has not arrived. It was dispatched 5 days ago.,Delivery Delay
Delay in delivery of my interview call letter. I might miss the interview date.,Delivery Delay
Package sent to Rural Bihar is stuck at the Patna sorting centre for 4 days.,Delivery Delay
"I paid for Express Service, but the delivery is slower than ordinary post.",Delivery Delay
The article EM123456789IN was supposed to reach Chennai yesterday. No sign of it.,Delivery Delay
My medicine parcel from Hyderabad to Vijayawada is delayed. This is critical.,Delivery Delay
The tracking shows 'Item Bagged' at Delhi for the last 7 days. When will it move?,Delivery Delay
Posted a letter to the Income Tax office. It has not been delivered even after 2 weeks.,Delivery Delay
The admission form sent via Speed Post reached the university late. Who is responsible?,Delivery Delay
Consignment to Shillong is delaying indefinitely. Customer care is not helpful.,Delivery Delay
My packet from Kochi to Trivandrum is taking too long. It is just a 4-hour journey.,Delivery Delay
Delay in delivering the ATM card. The bank said it was dispatched on the 1st.,Delivery Delay
The parcel is looping between two sorting hubs in Mumbai. Please fix this.,Delivery Delay
Sent a gift to my sister in Lucknow. It missed her birthday due to this delay.,Delivery Delay
Why is the 'Next Day Delivery' taking 5 days? I want a refund of the speed post charges.,Delivery Delay
My consignment is stuck at the customs clearance in Delhi Foreign Post Office.,Delivery Delay
"Sent a parcel to a soldier in Ladakh. It usually takes 10 days, but it has been a month.",Delivery Delay
The postman says he has too much load and will deliver my parcel next week. Unacceptable.,Delivery Delay
Article booked at Connaught Place H.O. has not moved for 7 days. Is the office closed?,Delivery Delay
My speed post to Ahmedabad is delayed. The tracking hasn't updated in 48 hours.,Delivery Delay
Urgent legal notice sent to High Court is delayed. This will cause me a huge loss.,Delivery Delay
The packet sent to Bhubaneswar is still in Kolkata. Why the delay?,Delivery Delay
I am waiting for my PAN card delivery. It has been 'Item Bagged' for 96 hours.,Delivery Delay
Dispatched a parcel to Indore. It is still showing 'Booked' after 5 days.,Delivery Delay
The delivery of my cheque book is delayed. I cannot withdraw money.,Delivery Delay
Parcel to Chandigarh is stuck. I went to the PO and they said wait for 2 more days.,Delivery Delay
My registered letter to the bank is delayed. I will be charged a penalty.,Delivery Delay
Speed post to Bhopal is late. It should have been delivered by now.,Delivery Delay
